,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Beloha,-25.1667,45.05,72.84,90,0,8.43,MG,1645494543
1,Mgandu,-5.95,34.1333,59.77,96,100,3.33,TZ,1645494596
3,Punta Arenas,-53.15,-70.9167,59.11,55,40,4.61,CL,1645494597
4,Mataura,-46.1927,168.8643,50.65,98,100,6.87,NZ,1645494597
5,Jamestown,42.097,-79.2353,43.92,70,100,1.99,US,1645494597
7,Deputatsky,69.3,139.9,-14.15,78,99,4.36,RU,1645494602
8,Albany,42.6001,-73.9662,39.07,68,46,1.1,US,1645494602
9,East London,-33.0153,27.9116,66.7,76,75,4.83,ZA,1645494603
11,Kapaa,22.0752,-159.319,80.58,64,0,14.97,US,1645494603
12,Yurty,56.0498,97.6348,6.3,96,73,3,RU,1645494604
13,Mumbai,19.0144,72.8479,69.78,60,14,0,IN,1645494444
15,Talnakh,69.4865,88.3972,15.21,85,100,16.2,RU,1645494604
17,Busselton,-33.65,115.3333,78.04,44,0,6.58,AU,1645494605
18,Rikitea,-23.1203,-134.9692,77.86,71,45,5.57,PF,1645494605
20,Barrow,71.2906,-156.7887,8.62,78,100,14.97,US,1645494605
21,Mount Gambier,-37.8333,140.7667,67.91,40,40,12.66,AU,1645494606
22,Bathsheba,13.2167,-59.5167,77.61,78,40,14.97,BB,1645494606
23,Oussouye,12.485,-16.5469,69.85,76,32,8.23,SN,1645494606
25,Campo Grande,-20.4428,-54.6464,80.15,69,0,8.05,BR,1645494607
26,Laguna,38.421,-121.4238,57.4,46,0,10.36,US,1645494607
27,Chhuīkhadān,21.5333,80.9833,65.75,24,2,1.34,IN,1645494608
28,Ahipara,-35.1667,173.1667,77.7,58,13,3.44,NZ,1645494608
29,Cherskiy,68.75,161.3,-42.45,96,100,4.12,RU,1645494608
30,Atuona,-9.8,-139.0333,78.57,74,3,16.82,PF,1645494609
31,Ponta do Sol,32.6667,-17.1,63.23,62,35,11.5,PT,1645494609
32,Sinop Province,41.7711,34.8709,41.99,79,3,11.39,TR,1645494362
33,Kamariótissa,40.4833,25.4667,54.57,95,6,2.37,GR,1645494609
34,Tautira,-17.7333,-149.15,89.62,71,8,15.12,PF,1645494610
35,Marmora,44.4583,7.094,32.36,74,16,10.4,IT,1645494610
36,Bambous Virieux,-20.3428,57.7575,80.85,89,40,21.85,MU,1645494610
37,Fort Nelson,58.8053,-122.7002,0.99,66,0,0,CA,1645494373
38,Gazli,40.1333,63.45,45.34,42,100,8.9,UZ,1645494611
39,Hobart,-42.8794,147.3294,71.02,39,20,6.91,AU,1645494611
40,Saint George,37.1041,-113.5841,54.19,35,100,11.99,US,1645494559
41,Carnarvon,-24.8667,113.6333,84.27,65,11,17.27,AU,1645494611
42,Puerto Ayora,-0.7393,-90.3518,77.56,91,35,3,EC,1645494612
43,Dingle,10.9995,122.6711,82.27,70,100,13.02,PH,1645494612
44,Broken Hill,-31.95,141.4333,78.51,25,0,16.11,AU,1645494612
45,Vila do Maio,15.1333,-23.2167,70.59,77,92,15.99,CV,1645494613
46,Alihe,50.5667,123.7167,3.02,71,5,2.98,CN,1645494613
47,Norden,53.6,7.2,42.01,82,6,24.9,DE,1645494613
48,Bhadrāchalam,17.6667,80.8833,70.83,57,6,1.83,IN,1645494614
49,Hilo,19.7297,-155.09,84.52,81,75,10.36,US,1645494614
50,Butaritari,3.0707,172.7902,81.79,80,67,19.66,KI,1645494674
51,Biltine,14.5333,20.9167,63.34,18,4,10.42,TD,1645494675
52,Vaini,-21.2,-175.2,81.61,79,77,19.62,TO,1645494675
53,Lompoc,34.6391,-120.4579,58.68,71,0,25.32,US,1645494676
54,Port Elizabeth,-33.918,25.5701,59.29,88,0,3.44,ZA,1645494676
55,Tingo María,-9.2895,-76.0088,69.46,98,99,0.63,PE,1645494676
56,Srednekolymsk,67.45,153.6833,-29.92,95,83,5.5,RU,1645494677
58,Bluff,-46.6,168.3333,55.83,69,100,19.01,NZ,1645494677
59,Ushuaia,-54.8,-68.3,55.06,76,75,21.85,AR,1645494677
60,New Norfolk,-42.7826,147.0587,70.66,24,5,2.35,AU,1645494678
61,São João da Barra,-21.6403,-41.0511,76.53,91,100,9.24,BR,1645494678
62,Geraldton,-28.7667,114.6,83.12,57,0,20.71,AU,1645494678
63,Castro,-24.7911,-50.0119,63.5,88,0,1.36,BR,1645494679
64,Tuktoyaktuk,69.4541,-133.0374,-9.4,70,75,20.71,CA,1645494679
66,Qaanaaq,77.484,-69.3632,-7.89,58,39,9.13,GL,1645494679
67,Hithadhoo,-0.6,73.0833,82.6,71,100,9.28,MV,1645494680
68,Thompson,55.7435,-97.8558,-16.44,63,0,3.44,CA,1645494680
69,Price,39.5994,-110.8107,36.66,51,100,4.61,US,1645494625
70,Flinders,-34.5833,150.8552,73.8,93,100,10.6,AU,1645494681
71,Evensk,61.95,159.2333,-8.73,78,1,4.54,RU,1645494681
72,Homer,59.6425,-151.5483,40.89,73,100,18.99,US,1645494681
73,Norman Wells,65.282,-126.8329,-16.56,63,20,6.91,CA,1645494682
74,La Ronge,55.1001,-105.2842,-16.35,63,0,3.44,CA,1645494492
75,Sretensk,52.2453,117.7093,-5.55,91,95,2.44,RU,1645494682
77,Ayní,39.3941,68.5377,37.65,69,100,4.65,TJ,1645494683
78,Margate,51.3813,1.3862,43.95,73,90,3,GB,1645494683
79,Weyburn,49.6668,-103.8511,-12.82,70,99,5.75,CA,1645494683
80,Henties Bay,-22.116,14.2845,70.86,81,72,4.18,NA,1645494684
81,Coahuayana Viejo,18.7333,-103.6833,72.99,75,0,0.36,MX,1645494684
82,Provincia di Gorizia,45.9167,13.5,41.47,90,0,5.75,IT,1645494684
83,Port Blair,11.6667,92.75,71.64,100,20,1.14,IN,1645494685
84,Valparaíso,-33.0393,-71.6273,65.48,76,0,5.75,CL,1645494666
86,Kalmunai,7.4167,81.8167,76.69,84,8,3.22,LK,1645494685
87,Saint-Philippe,-21.3585,55.7679,78.35,91,100,25.34,RE,1645494686
88,Anadyr,64.75,177.4833,-4.52,83,100,11.18,RU,1645494686
89,Torbay,47.6666,-52.7314,35.76,84,75,26.46,CA,1645494686
90,Pisco,-13.7,-76.2167,71.65,88,100,6.91,PE,1645494687
91,Ilulissat,69.2167,-51.1,-8.1,97,100,6.31,GL,1645494687
92,Pevek,69.7008,170.3133,-30.96,92,100,2.37,RU,1645494687
93,Egvekinot,66.3167,-179.1667,-1.14,94,100,8.88,RU,1645494688
94,Mazagão,-0.115,-51.2894,78.85,96,100,3.09,BR,1645494688
95,Rundu,-17.9333,19.7667,70.05,74,94,3.85,NA,1645494688
96,Cape Town,-33.9258,18.4232,64.11,83,0,9.22,ZA,1645494453
97,Along,28.1667,94.7667,52.65,83,74,2.53,IN,1645494689
98,Upernavik,72.7868,-56.1549,-26.99,100,100,6.4,GL,1645494689
99,Sur,22.5667,59.5289,71.89,71,0,12.41,OM,1645494689
101,Tigil',57.8,158.6667,-2.15,81,100,13.58,RU,1645494750
102,Solnechnyy,50.7214,136.6319,11.97,81,28,2.62,RU,1645494750
103,Killybegs,54.6333,-8.45,50.18,88,100,24.74,IE,1645494751
104,Kaitangata,-46.2817,169.8464,55.22,95,100,7.27,NZ,1645494751
105,Cidreira,-30.1811,-50.2056,73.92,86,57,9.28,BR,1645494751
106,La Providencia,28.7167,-111.5833,63.86,48,2,8.86,MX,1645494752
107,Dikson,73.5069,80.5464,11.79,94,100,13.98,RU,1645494752
108,Severo-Kuril'sk,50.6789,156.125,30,91,100,38.12,RU,1645494752
109,Bredasdorp,-34.5322,20.0403,63.72,77,3,3.44,ZA,1645494753
110,Beringovskiy,63.05,179.3167,1.58,91,100,11.21,RU,1645494753
111,Mar del Plata,-38.0023,-57.5575,70.09,93,75,11.99,AR,1645494551
112,Port-Gentil,-0.7193,8.7815,80.91,81,92,8.37,GA,1645494753
113,Nanortalik,60.1432,-45.2371,9.3,81,73,11.77,GL,1645494754
114,Correntina,-13.3433,-44.6367,69.28,94,55,1.52,BR,1645494754
115,Kangaatsiaq,68.3065,-53.4641,-9.56,98,87,7.74,GL,1645494754
116,Gunnedah,-30.9833,150.25,85.62,29,100,5.66,AU,1645494755
117,Marzuq,14.4,46.4667,57.27,37,87,3.83,YE,1645494755
118,Lagos,6.5833,3.75,80.92,87,63,1.36,NG,1645494625
119,Snåase,64.2457,12.3778,14.27,100,81,4.88,NO,1645494755
120,College,64.8569,-147.8028,19.8,72,100,5.75,US,1645494756
121,Gorontalo,0.5412,123.0595,80.33,74,100,6.8,ID,1645494756
122,Oistins,13.0667,-59.5333,77.09,78,40,14.97,BB,1645494659
123,Bengkulu,-3.8004,102.2655,80.55,75,100,2.71,ID,1645494757
124,Manhattan,40.7834,-73.9662,44.6,69,20,3.44,US,1645494517
125,Soyo,-6.1349,12.3689,78.8,84,100,4.5,AO,1645494757
126,Faanui,-16.4833,-151.75,80.94,76,100,16.73,PF,1645494757
127,Hermanus,-34.4187,19.2345,61.9,82,7,3.36,ZA,1645494758
129,Riyadh,24.6877,46.7219,50.14,31,0,6.58,SA,1645494758
130,Kavieng,-2.5744,150.7967,81.28,79,100,12.26,PG,1645494758
